ID	redshift	Flux (Ha 6563) MAST	F_err(Ha 6563) MAST	Flux (Ha 6563) JADES	F_err(Ha 6563) JADES	Flux (Hb 4861) MAST	F_err(Hb 4861) MAST	Flux (Hb 4861) JADES	F_err(Hb 4861) JADES	Flux ([OIII]4959) MAST	F_err([OIII]4959) MAST	Flux ([OIII]4959) JADES	F_err([OIII]4959) JADES	Flux ([OIII]5007) MAST	F_err([OIII]5007) MAST	Flux ([OIII]5007) JADES	F_err([OIII]5007) JADES	Flux ([NII]6583) MAST	F_err([NII]6583) MAST	Flux ([NII]6583) JADES	F_err([NII]6583) JADES
18846	6.335054	2.982768614126829	0.070324266946962	3.625752930301682	0.0799206481079003	1.1508017376264683	0.0446692963949479	1.0961002764108418	0.0542135329175946	1.9053869816702529	0.0385630145905423	2.0005204392026745	0.0614583975167951	5.41205394642244	0.0378240380192149	5.848629166127357	0.0602856941565865	0.1637749203554901	0.3628508595651383	0.3493378654521712	0.4142552714784947
18970	3.72458828704365	6.233202744784901	0.1129361887360916	10.891855387114022	0.251372156582722	2.226761694078446	0.1109980976796084	3.490723015072008	0.2852248169415071	3.372091117442308	0.1597783530717578	5.852834262145341	0.2702292236965345	9.222470324765116	0.1401674569499004	14.485734983652174	0.2650729109473903	0.3989603406635265	0.6787214659581016	0.9133339660218948	1.2531985251719313
18976	6.327052	1.0027753718546206	0.0770017892586534	1.060032525613564	0.073831936644962	0.5859455796992891	0.0631245822822541	0.3656023269977563	0.050017862315559	0.5020284650147351	0.0500665509084031	0.534092787455279	0.0595369276347701	1.80297821419798	0.0549010420783987	1.7594481375207347	0.09233991225237	0.0044258812532767	0.154557234520403	0.0656089809658417	0.1993710003944735
19342	5.974287	1.7851975430455964	0.0777007629604564	1.2887135432657832	0.0656136268834914	1.0219652184098755	0.0773198495596394	0.5447229733314102	0.0599891895088372	0.91098585455374	0.0854281636523507	0.5686222009006745	0.0605944886616943	3.045038347315436	0.0837910978272092	1.94372158480123	0.0594382697666941	0.0071867148835038	0.2317126898110499	0.0452349489194011	0.1814897134950744
19519	3.60450973158305	3.64805083067548	0.063871550185892	3.466046337495895	0.0686359941635877	1.384451052847953	0.0459738861398667	1.3349578418267316	0.0682549008942152	2.6264319956494773	0.046193231200688	2.3746580654442293	0.0785910434868009	7.488289593044135	0.0453067120104921	6.901324347962137	0.068952669162344	0.1199160199618378	0.4569201730215154	0.1294304671948273	0.3986515094250989
19606	5.88913558713673	1.3369900973295668	0.0545895259087457	1.7057341716533534	0.1394602501146118	0.4899463275218442	0.0540336774577072	0.5880048191378463	0.099025029538031	0.6231744642436821	0.0670748127657452	0.9050266469582134	0.0963403544941575	1.96164543325836	0.0739388472602724	2.808730882583219	0.1056565146563559	0.0347338957924938	0.1804973018482447	0.0929178313789321	0.2991382431469305
20961	7.04457065169479					0.1268903359924803	0.0645857486954089	0.5099552211214218	0.0914404137438547	0.2407970659043835	0.0654663909513001	0.4721390706334484	0.0871690120967806	0.6066511263474281	0.0717929561250222	0.9990796308294893	0.0955982988908677				
22251	5.79838391626917	3.996193831280499	0.0939220021903366	3.4435825265697275	0.0733122810127309	1.533265726273562	0.105058816835484	1.1107840765262038	0.0750654214107244	3.234225076990412	0.0647299419495696	2.3724346017492097	0.0584857088677584	9.452353789572465	0.0634895189955675	6.648846868435063	0.0573697281379381	0.0228783948105702	0.5076373936487282	0.0881127731570705	0.437901813540809
10000626	4.46468607001795	0.4897148916224992	0.0256270952609663	0.6588472034092361	0.0452788052245614	0.2375575067438536	0.0496401884909441	0.3381542668221848	0.0714032299114253	0.1955063975566515	0.0511976271703393	0.1769953337915551	0.071054349918028	1.0588556123615156	0.0594153092814797	1.024887316567594	0.0763509292657602	0.040123589529249	0.0631780798917972	0.075139161667204	0.0903529904180198
10001587	3.43070237834676	0.2094619915414265	0.0495998110196496	0.204138619561348	0.0740280119781088	0.0248516893722959	0.0509315734594852	0.0091122875031417	0.0479278880333224	0.215935615290844	0.0331212048984369	0.1938127509006943	0.0428603923305974	0.392724113097471	0.0459453956342211	0.2096267206579933	0.042042562251418	0.1284795980340464	0.06524374192047	0.2697606595290263	0.0783042092138789
10001892	4.770522	0.1209464186757281	0.0255183260869078	0.2092178910719204	0.0301065770594348	0.0677890940932699	0.0792436457715762	0.0180851452840905	0.102101775655793	0.0136204951832986	0.0739925040323043	0.0866016412638412	0.0984533507804622	0.5105976401876412	0.0725657123478577	0.2493503483572385	0.0965747372800902	0.0194783833700835	0.0271225099220576	0.0462016662623199	0.0454937707883602
10005113	5.820838					0.1565943732195548	0.0314146758168605	0.1591440724330804	0.0446019032764694	0.3020327243216247	0.0362613681045384	0.3879300323732829	0.0517085811986185	0.9192363307471928	0.0355680353105845	1.3284234729097246	0.0567088267004631				
