ID	redshift	Flux (Ha 6563) MAST	F_err(Ha 6563) MAST	Flux (Ha 6563) JADES	F_err(Ha 6563) JADES	Flux (Hb 4861) MAST	F_err(Hb 4861) MAST	Flux (Hb 4861) JADES	F_err(Hb 4861) JADES	Flux ([OIII]4959) MAST	F_err([OIII]4959) MAST	Flux ([OIII]4959) JADES	F_err([OIII]4959) JADES	Flux ([OIII]5007) MAST	F_err([OIII]5007) MAST	Flux ([OIII]5007) JADES	F_err([OIII]5007) JADES	Flux ([NII]6583) MAST	F_err([NII]6583) MAST	Flux ([NII]6583) JADES	F_err([NII]6583) JADES	Optimal dline (Ha) MAST	Optimal dline (Ha) JADES	Optimal dline (Hb) MAST	Optimal dline (Hb) JADES	Optimal dline ([OIII]5007) MAST	Optimal dline ([OIII]4959) MAST	Optimal dline ([OIII]4959) JADES	Optimal dline ([OIII]5007) JADES	Optimal dline ([NII]6583) MAST	Optimal dline ([NII]6583) JADES
10009848	4.37	0.008646000809085187	0.050032699185744905	0.10296632714992891	0.07251230503420462													0.011926681608721686	0.03986578068114906	0.16608360729981525	0.06919519073532857	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10013545	4.03498294164463	2.6146272694193446	0.06359804410102586	4.907578328468384	0.0822382925602543													0.0852895679010127	0.365845941511181	0.0358289807747633	0.5221227224285615	5.5	7.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10013609	6.928894			2.1572490882355426	0.13026597189021175	0.6921196981313569	0.08866162717224188	0.6252227802850677	0.08124103458823657	0.9224413411304061	0.06534797903412023	1.3201149816170317	0.11781758437024406	2.9305224482274546	0.057328001967044205	3.590190793621995	0.10550001584342794			0.15020117757428958	0.25993880828088317	5.0	5.0	6.0	4.5	4.5	5.0	6.0	5.5	5.0	5.0
10013618	5.94372301071691	0.6852239273613967	0.03872603161019854	0.7469173609928017	0.046951550478997774	0.2831778626723501	0.03326601521582478	0.30528108055908887	0.0469928137866194	0.5057713000556602	0.026910411773025996	0.587013337916177	0.034684843538189965	1.2012219724683737	0.026394292932223035	1.4077737726137716	0.03803888514722948	0.10377061638283515	0.0964914841637187	0.06871776998290205	0.10824876247686312	4.5	4.5	5.0	5.0	4.5	5.0	4.5	5.5	5.0	5.0
10013620	5.91753186734937	1.078396122588457	0.049958584573529835	1.351993947224611	0.10544255822302216	0.34178609125575155	0.0574465857503375	0.5099019754431072	0.0684653208599862	0.7852897867371995	0.04557830339188872	0.9151320658536646	0.06988572645484634	1.8753216325639561	0.04997909386318141	2.2768264070227264	0.06855221908144417	0.1347450231001787	0.14494397734188466	0.14430724234480505	0.20279933678488668	5.0	5.0	4.5	4.5	6.0	5.0	5.0	4.5	5.0	5.0
10013704	5.919825	2.581660502128212	0.11758189616744892	3.2538637754102124	0.14757676672840314	0.9238708926842827	0.03987461809063747	0.966382171971862	0.07275817125516594	1.4035465659663091	0.03442300576922103	1.797719907799847	0.06576397302288757	4.297813184880078	0.033766730579215386	4.8335604552621865	0.05769870551991514	0.4047733146538018	0.2736979362362303	0.5871485464614816	0.33537932439016466	4.5	5.5	7.0	5.5	4.5	5.0	6.0	5.0	5.0	5.0
10013905	7.197212					0.4825443900293407	0.02625044524784424	0.7577364538160732	0.07854607378289903	0.5697801602884223	0.036966421827420985	0.6101304468276365	0.06860045769246098	1.8442135135448205	0.036262262934168336	1.976750305841666	0.06729147486019461					5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10015338	5.07627227996806	2.4493381112324064	0.10341054550809237	2.940286364940463	0.18429398687062953	0.6365591285778898	0.1093844204850981	0.856500688364027	0.22808278987783143			0.7765098704947374	0.058126923860606756					0.011595251055025188	0.2868252388123007	0.44500253056714445	0.4116179022223004	5.0	5.0	5.0	5.0	5.0	5.0	14.5	5.0	5.0	5.0
10016186	3.92792643507394	2.5156039655441216	0.06517229066715552	3.152872184799863	0.11502461477158088													0.12326208926193495	0.25523245732504357	0.2434469915128529	0.4161393317322182	4.5	4.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10016374	5.50325569707072	1.483721785317011	0.04599051424877934	1.8271155427671268	0.07365358923930568													0.0019448552787302423	0.1984699315388732	0.02641999484263803	0.2029068779994163	6.0	6.5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
10035295	3.58892350772953	4.942687134365403	0.12462327471198416	5.54810563966619	0.1224450420644483													2.3468180228495035	1.0251168151847645	0.31965743505199906	0.7808704447000274	6.5	4.5	5.0	5.0	5.0	5.0	5.0	5.0	14.0	5.0
10056849	5.8142066790736	1.165407515131083	0.05901144356619327	1.4685701077459896	0.0954131925415765	0.4457531983284993	0.05092269701639918	0.5181690260168298	0.06552740245207557	0.3701013651957987	0.06304719990061193	0.4359038656089926	0.11573515425142696	1.418384273887018	0.055309609854975385	1.5806116484580095	0.1135267822506803	0.14000160205079973	0.14488600263469512	0.17994875426197707	0.16256551040385037	4.5	4.5	5.0	5.0	5.0	5.5	5.0	5.0	5.0	5.0
